aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
0,2,3.27,11.75,20.0,9.2,3131.0,False,0,0,171,2,6,True,54.1,24,156,2,0.9024507448342144,6,90,6,4,5200.0,3.35,-1,104.5,0.9236111111111112
0,2,3.43,12.36842105263158,19.0,9.0,3060.0,False,1,0,181,4,6,True,55.1,25,152,1,0.8870735223450265,10,108,6,4,5200.0,3.27,0,100.4,0.9236111111111112
0,3,3.15,7.580645161290323,31.0,9.4,2024.0,False,1,0,97,1,4,True,53.5,37,69,0,0.8178760211436809,10,103,4,4,5200.0,3.29,1,94.5,0.8861111111111111
0,2,3.19,8.703703703703704,27.0,9.0,2275.0,False,1,0,109,1,6,True,55.7,34,85,0,0.8250840941854877,9,94,4,4,5250.0,3.4,2,97.3,0.9097222222222222
1,3,3.7,9.4,25.0,21.0,3430.0,True,0,0,152,0,2,False,58.7,25,95,0,0.9557904853435848,1,122,4,4,4150.0,3.52,0,114.2,0.95
0,2,3.19,9.038461538461537,26.0,10.0,2300.0,False,1,0,109,1,6,True,55.7,32,100,0,0.8250840941854877,9,94,4,4,5500.0,3.4,2,97.3,0.9097222222222222
0,2,3.19,9.791666666666666,24.0,10.0,2337.0,False,1,0,109,1,6,True,54.3,30,102,1,0.8486304661220567,12,164,4,4,5500.0,3.4,2,99.8,0.9194444444444444
0,0,3.46,10.217391304347826,23.0,8.7,2460.0,False,1,0,132,1,6,True,50.5,31,104,1,0.8495915425276309,19,122,4,2,5125.369458128079,3.9,2,96.1,0.925
0,2,2.99,5.222222222222221,45.0,21.9,2017.0,True,1,0,103,1,2,False,54.5,50,55,0,0.794329649207112,10,128,4,2,4800.0,3.47,1,94.5,0.8861111111111111
0,0,2.97,7.580645161290323,31.0,9.4,2004.0,False,1,0,92,1,4,True,50.8,38,68,0,0.7558865929841423,21,161,4,2,5500.0,3.23,2,93.7,0.8944444444444445
0,0,2.91,7.833333333333332,30.0,9.2,1940.0,False,1,0,92,1,1,True,52.6,34,76,0,0.7208073041806824,5,101,4,2,6000.0,3.41,1,93.7,0.8888888888888888
0,2,3.46,14.6875,16.0,8.3,3740.0,False,0,0,234,4,6,True,56.5,18,155,1,0.9735703988467084,13,122,8,4,4750.0,3.1,-1,115.6,0.9958333333333332
0,0,3.62,9.038461538461537,26.0,8.7,2240.0,False,4,0,108,3,4,True,55.7,31,73,0,0.7558865929841423,17,83,4,2,4400.0,2.64,2,93.3,0.8861111111111111
0,4,3.47,11.190476190476188,21.0,9.0,2548.0,False,0,0,130,2,6,True,48.8,27,111,1,0.8111484863046613,15,122,4,2,5000.0,2.68,3,88.6,0.8902777777777777
1,0,3.54,12.36842105263158,19.0,9.0,2808.0,False,1,0,121,2,6,True,56.1,26,160,2,0.8966842864007688,16,150,4,2,5500.0,3.07,3,99.1,0.9236111111111112
0,2,3.63,15.666666666666664,15.0,8.1,4066.0,False,0,0,258,2,6,True,52.8,19,176,2,0.9591542527630946,11,122,6,4,4750.0,4.17,0,113.0,0.9666666666666666
0,2,3.03,6.184210526315789,38.0,9.6,1909.0,False,1,0,90,1,4,True,52.0,43,70,0,0.7630946660259491,14,81,4,4,5400.0,3.11,0,94.5,0.8833333333333333
0,2,3.46,12.36842105263158,19.0,8.4,3075.0,False,0,0,120,0,6,True,56.7,24,97,0,0.897164824603556,1,161,4,4,5000.0,3.19,0,107.9,0.95
0,0,3.62,9.038461538461537,26.0,8.7,2120.0,False,1,0,108,3,4,True,53.7,31,73,0,0.758769822200865,17,83,4,2,4400.0,2.64,2,93.7,0.8833333333333333
0,2,3.54,11.190476190476188,21.0,9.3,2758.0,False,1,0,121,1,6,True,56.1,28,110,1,0.8966842864007688,16,104,4,4,5250.0,3.07,2,99.1,0.9236111111111112
1,0,3.03,9.791666666666666,24.0,7.6,2128.0,False,1,0,98,1,6,True,50.8,30,102,1,0.7558865929841423,18,118,4,2,5500.0,3.39,1,93.7,0.8861111111111111
0,0,3.05,7.580645161290323,31.0,9.0,2040.0,False,1,0,92,1,4,True,54.5,38,62,0,0.762614127823162,6,87,4,2,4800.0,3.03,1,95.7,0.8833333333333333
1,2,3.54,12.36842105263158,19.0,9.0,2847.0,False,1,0,121,2,6,True,56.1,26,160,2,0.8966842864007688,16,104,4,4,5500.0,3.07,2,99.1,0.9236111111111112
