aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
0,0,2.97,7.580645161290323,31.0,9.4,1944.0,False,1,0,92,1,4,True,50.8,38,68,0,0.7558865929841423,21,161,4,2,5500.0,3.23,2,93.7,0.8944444444444445
0,2,3.62,14.6875,16.0,8.0,3230.0,False,0,0,209,1,6,True,55.7,22,182,2,0.9082172032676598,3,122,6,4,5400.0,3.39,0,103.5,0.9291666666666668
0,3,2.92,7.833333333333332,30.0,9.2,2024.0,False,1,0,92,1,1,True,58.3,34,76,0,0.7549255165785679,5,78,4,4,6000.0,3.41,0,96.5,0.8875
0,0,2.91,7.833333333333332,30.0,9.2,1940.0,False,1,0,92,1,1,True,52.6,34,76,0,0.7208073041806824,5,101,4,2,6000.0,3.41,1,93.7,0.8888888888888888
0,1,3.15,7.580645161290323,31.0,9.4,2008.0,False,1,0,97,1,4,True,53.3,37,69,0,0.7803940413262855,10,168,4,2,5200.0,3.29,2,95.1,0.8861111111111111
0,3,3.62,10.217391304347826,23.0,9.0,2420.0,False,4,0,108,3,4,True,54.9,29,82,0,0.8342143200384431,17,85,4,4,4800.0,2.64,0,96.9,0.9083333333333334
0,2,3.31,8.703703703703704,27.0,8.7,2414.0,False,1,0,122,1,6,True,54.9,32,92,0,0.8438250840941854,6,65,4,4,4200.0,3.54,-1,102.4,0.9236111111111112
0,2,3.43,12.36842105263158,19.0,9.0,3060.0,False,1,0,181,4,6,True,55.1,25,152,1,0.8870735223450265,10,108,6,4,5200.0,3.27,0,100.4,0.9236111111111112
0,4,3.47,11.190476190476188,21.0,9.0,2548.0,False,0,0,130,2,6,True,48.8,27,111,1,0.8111484863046613,15,122,4,2,5000.0,2.68,3,88.6,0.8902777777777777
0,2,3.15,7.580645161290323,31.0,9.4,1889.0,False,1,0,97,1,4,True,54.5,37,69,0,0.794329649207112,10,128,4,2,5200.0,3.29,1,94.5,0.8861111111111111
0,2,3.15,9.791666666666666,24.0,9.0,2465.0,False,1,0,110,1,6,True,54.1,28,101,0,0.8428640076886112,5,85,4,4,5800.0,3.58,0,96.5,0.9055555555555556
0,2,3.19,12.36842105263158,19.0,8.5,2661.0,False,1,0,136,1,6,True,55.1,24,110,1,0.8659298414223928,9,122,5,4,5500.0,3.4,0,100.4,0.9291666666666668
0,0,2.97,7.580645161290323,31.0,9.4,2004.0,False,1,0,92,1,4,True,50.8,38,68,0,0.7558865929841423,21,161,4,2,5500.0,3.23,2,93.7,0.8944444444444445
0,0,2.97,6.351351351351353,37.0,9.4,1918.0,False,1,0,90,1,4,True,50.8,41,68,0,0.7558865929841423,20,119,4,2,5500.0,3.23,1,93.7,0.8861111111111111
1,0,3.59,12.36842105263158,19.0,7.0,2926.0,False,1,0,156,1,3,True,50.2,24,145,1,0.8322921672272945,21,122,4,2,5000.0,3.86,3,95.9,0.9208333333333332
0,2,3.63,15.666666666666664,15.0,8.1,4066.0,False,0,0,258,2,6,True,52.8,19,176,2,0.9591542527630946,11,145,6,4,4750.0,4.17,0,113.0,0.9666666666666666
0,0,3.15,7.580645161290323,31.0,9.4,2028.0,False,1,0,97,1,4,True,53.3,37,69,0,0.7957712638154734,10,128,4,2,5200.0,3.29,1,94.5,0.8861111111111111
0,2,3.19,8.392857142857142,28.0,9.0,2140.0,False,1,0,98,1,4,True,52.8,34,70,0,0.7991350312349833,6,91,4,4,4800.0,3.03,0,95.7,0.8944444444444445
0,2,2.91,7.833333333333332,30.0,9.2,2010.0,False,1,0,92,1,1,True,54.5,34,76,0,0.7851994233541567,5,110,4,4,6000.0,3.41,0,96.5,0.8888888888888888
0,2,3.15,9.4,25.0,9.1,2293.0,False,1,0,110,1,4,True,51.0,31,100,0,0.8125901009130225,5,107,4,2,5500.0,3.58,1,96.5,0.9166666666666666
0,2,3.5,10.217391304347826,23.0,8.8,2395.0,False,0,0,108,1,6,True,54.3,29,101,0,0.8495915425276309,3,192,4,4,5800.0,2.8,0,101.2,0.8999999999999999
0,2,3.24,9.038461538461537,26.0,9.4,2265.0,False,0,0,98,2,6,True,52.6,29,112,1,0.810667948101874,6,168,4,2,6600.0,3.08,1,94.5,0.8888888888888888
0,4,3.47,11.190476190476188,21.0,9.0,2548.0,False,0,0,130,2,6,True,48.8,27,111,1,0.8111484863046613,15,122,4,2,5000.0,2.68,3,88.6,0.8902777777777777
0,0,2.91,6.184210526315789,38.0,10.1,1837.0,False,1,0,79,1,1,True,52.6,42,60,0,0.7208073041806824,5,101,4,2,5500.0,3.07,1,93.7,0.8888888888888888
0,2,3.19,8.103448275862071,29.0,9.0,2169.0,False,0,0,98,1,4,True,52.6,34,70,0,0.810667948101874,6,168,4,2,4800.0,3.03,1,94.5,0.8888888888888888
0,0,3.27,12.36842105263158,19.0,9.3,3016.0,False,0,0,171,2,6,True,52.0,24,161,2,0.8817876021143681,6,197,6,2,5200.0,3.35,3,102.9,0.9402777777777778
1,0,3.17,10.217391304347826,23.0,7.5,2370.0,False,1,0,110,1,3,True,49.4,30,116,1,0.8313310908217203,21,153,4,2,5500.0,3.46,3,96.3,0.9083333333333334
0,3,3.34,9.791666666666666,24.0,8.5,2535.0,False,1,0,122,1,4,True,59.8,30,88,0,0.8390197020663143,18,110,4,4,5000.0,3.46,-1,103.3,0.8972222222222221
