,aspiration,body-style,bore,city-L/100km,city-mpg,compression-ratio,curb-weight,diesel,drive-wheels,engine-location,engine-size,engine-type,fuel-system,gas,height,highway-mpg,horsepower,horsepower-binned,length,make,normalized-losses,num-of-cylinders,num-of-doors,peak-rpm,stroke,symboling,wheel-base,width
10,0,2,3.5,10.217391304347826,23.0,8.8,2395.0,False,0,0,108,1,6,True,54.3,29,101,0,0.8495915425276309,3,192,4,4,5800.0,2.8,0,101.2,0.8999999999999999
3,0,2,3.19,9.791666666666666,24.0,10.0,2337.0,False,1,0,109,1,6,True,54.3,30,102,1,0.8486304661220567,12,164,4,4,5500.0,3.4,2,99.8,0.9194444444444444
52,0,0,3.329751243781096,13.823529411764708,17.0,9.4,2380.0,False,0,0,70,5,0,True,49.6,23,101,0,0.8121095627102355,2,150,2,2,6000.0,3.256903553299492,3,95.3,0.9125
98,0,2,3.43,13.823529411764708,17.0,9.0,3095.0,False,1,0,181,4,6,True,55.1,22,152,1,0.8731379144641999,10,128,6,4,5200.0,3.27,0,100.4,0.9236111111111112
162,0,0,3.24,9.038461538461537,26.0,9.4,2300.0,False,0,0,98,2,6,True,52.6,29,112,1,0.810667948101874,6,168,4,2,6600.0,3.08,1,94.5,0.8888888888888888
100,0,2,3.43,12.36842105263158,19.0,9.0,3060.0,False,1,0,181,4,6,True,55.1,25,152,1,0.8870735223450265,10,108,6,4,5200.0,3.27,0,100.4,0.9236111111111112
148,0,0,3.05,7.580645161290323,31.0,9.0,2015.0,False,1,0,92,1,4,True,54.5,38,62,0,0.762614127823162,6,74,4,4,4800.0,3.03,1,95.7,0.8833333333333333
200,1,2,3.78,12.36842105263158,19.0,9.5,3062.0,False,0,0,141,1,6,True,55.5,25,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
133,1,2,3.54,12.36842105263158,19.0,9.0,2847.0,False,1,0,121,2,6,True,56.1,26,160,2,0.8966842864007688,16,104,4,4,5500.0,3.07,2,99.1,0.9236111111111112
38,0,2,3.15,8.703703703703704,27.0,9.0,2304.0,False,1,0,110,1,1,True,54.1,33,86,0,0.8428640076886112,5,85,4,4,5800.0,3.58,0,96.5,0.9055555555555556
145,1,3,3.62,10.217391304347826,23.0,7.7,2650.0,False,4,0,108,3,6,True,54.9,23,111,1,0.8342143200384431,17,85,4,4,4800.0,2.64,0,96.9,0.9083333333333334
68,0,2,3.46,14.6875,16.0,8.3,3740.0,False,0,0,234,4,6,True,56.5,18,155,1,0.9735703988467084,13,122,8,4,4750.0,3.1,-1,115.6,0.9958333333333332
135,0,0,3.62,9.038461538461537,26.0,8.7,2120.0,False,1,0,108,3,4,True,53.7,31,73,0,0.758769822200865,17,83,4,2,4400.0,2.64,2,93.7,0.8833333333333333
160,0,0,3.19,8.103448275862071,29.0,9.0,2204.0,False,0,0,98,1,4,True,52.6,34,70,0,0.810667948101874,6,168,4,2,4800.0,3.03,1,94.5,0.8888888888888888
96,0,0,3.33,8.703703703703704,27.0,8.5,2324.0,False,1,0,120,1,4,True,54.7,34,97,0,0.8332532436328689,10,106,4,4,5200.0,3.47,0,97.2,0.9055555555555556
196,0,2,3.78,10.217391304347826,23.0,9.5,2952.0,False,0,0,141,1,6,True,55.5,28,114,1,0.9072561268620856,0,95,4,4,5400.0,3.15,-1,109.1,0.9569444444444444
134,0,0,3.62,7.580645161290323,31.0,9.0,2050.0,False,1,0,97,3,4,True,53.7,36,69,0,0.7539644401729938,17,83,4,2,4900.0,2.36,2,93.7,0.8805555555555555
33,0,0,2.91,7.833333333333332,30.0,9.2,1956.0,False,1,0,92,1,1,True,52.6,34,76,0,0.7208073041806824,5,101,4,2,6000.0,3.41,1,93.7,0.8888888888888888
25,0,2,2.97,7.580645161290323,31.0,9.4,1989.0,False,1,0,90,1,4,True,50.6,38,68,0,0.7558865929841423,18,148,4,4,5500.0,3.23,1,93.7,0.8861111111111111
2,0,0,2.68,12.36842105263158,19.0,9.0,2823.0,False,0,0,152,4,6,True,52.4,26,154,1,0.8226814031715521,15,122,6,2,5000.0,3.47,1,94.5,0.9097222222222222
146,0,0,3.05,6.7142857142857135,35.0,9.0,1985.0,False,1,0,92,1,4,True,54.5,39,62,0,0.762614127823162,6,87,4,2,4800.0,3.03,1,95.7,0.8833333333333333
28,1,0,3.6,12.36842105263158,19.0,7.0,2811.0,False,1,0,156,1,7,True,50.2,24,145,1,0.8322921672272945,18,145,4,2,5000.0,3.9,3,95.9,0.9208333333333332
92,0,0,3.15,7.580645161290323,31.0,9.4,2028.0,False,1,0,97,1,4,True,53.3,37,69,0,0.7957712638154734,10,128,4,2,5200.0,3.29,1,94.5,0.8861111111111111
61,0,0,3.39,9.038461538461537,26.0,8.6,2425.0,False,1,0,122,1,4,True,55.5,32,84,0,0.8543969245555022,2,115,4,4,4800.0,3.39,0,98.8,0.9236111111111112
